acetolactate[c]	2.42326E-06	2.42326E-06
acetylp[c]	0.000136895	0.000230868
acetoin[c]	2.88623E-05	3.08183E-05
acoa[c]	5.23776E-05	0.000127253
NAD[c]	0.001292378	0.001549285
NADH[c]	5.25572E-06	1.41743E-05
NADP[c]	0.000577367	0.000593484
NADPH[c]	4.16075E-05	4.79875E-05
pyruvate[c]	5.18748E-05	7.59041E-05
Ethanol[c]	0.1131	0.1235
acetate[e]	0.129816979	0.139588649
acetate[c]	1e-3	1e-1
acetaldehyde[c]	1e-3	1e-1
H2O[c]	1	1
h[c]	1e-6	1e-6
h[e]	1e-5	1e-5
H2[c]	1e-6	0.0008
Co2[c]	1e-5	0.0384
CO[c]	1e-6	0.00091
